sample_id,loss_rate_raw,loss_rate_se_raw,mean_dtt_conc_t1,mean_dtt_conc_t2,cal_curve,raw_data,loss_rate_se_raw_sq,loss_rate_corrected,loss_rate_se_corrected
140201,-0.21463378011510179,0.024884369883057852,101.45054220741959,93.6843765969215,DTT Calibration Curve_5 October 2018,7 November 2018,6.192318644768367e-4,-0.21594015865581573,0.036940452569400914
140301,0.0903381831525837,0.03711598701306013,96.33358262293254,99.6023192166702,DTT Calibration Curve_5 October 2018,7 November 2018,0.0013775964919536484,0.08903180461186977,0.046075608118710386
140401,-0.2804584020698234,0.18934902126980627,114.36233384265397,104.21441399442753,DTT Calibration Curve_5 October 2018,7 November 2018,0.03585305185583355,-0.28176478061053734,0.191307127487161
140501,-0.05755651002929491,0.02584409379917487,107.47445916745134,105.39187277955803,DTT Calibration Curve_5 October 2018,7 November 2018,6.67917184300549e-4,-0.05886288857000885,0.03759364781257428
150201,-0.13832863096438847,0.038973939402697326,110.14775720175695,105.14256623802885,DTT Calibration Curve_5 October 2018,7 November 2018,0.001518967952565123,-0.1396350095051024,0.047585009447518714
150501,0.06775890501984445,0.03062254906311142,103.65694322021915,106.10868626685387,DTT Calibration Curve_5 October 2018,7 November 2018,9.377405111226662e-4,0.06645252647913052,0.041025671020447525
150601,-0.21378674112579987,0.019613540122653702,96.33922442234328,88.60370750594144,DTT Calibration Curve_5 October 2018,7 November 2018,3.846909561429466e-4,-0.21509311966651382,0.03361630746673805
filter blank_1,-0.0652346445492377,0.025841415138379942,NA,NA,DTT Calibration Curve_5 October 2018,7 November 2018,6.67778736354092e-4,NA,NA
filter blank_2,-0.7591829253768915,0.019598137554963403,NA,NA,DTT Calibration Curve_5 October 2018,7 November 2018,3.8408699562326694e-4,NA,NA
solution blank_1,0.001306378540713934,0.02730137673369828,NA,NA,DTT Calibration Curve_5 October 2018,7 November 2018,7.453651715553218e-4,NA,NA
solution blank_2,-0.04485092518976346,0.0379987831061838,NA,NA,DTT Calibration Curve_5 October 2018,7 November 2018,0.0014439075175507992,NA,NA
